
2024-12-22 00:17:25,624 : H
2024-12-22 00:17:26,778 : e
2024-12-22 00:17:27,298 : l
2024-12-22 00:17:27,420 : l
2024-12-22 00:17:27,670 : o
2024-12-22 00:17:29,360 : !
2024-12-22 00:17:32,342 : /r
2024-12-22 00:17:32,814 : h
2024-12-22 00:17:33,221 : o
2024-12-22 00:17:33,676 : w
2024-12-22 00:17:33,989 : /r
2024-12-22 00:17:34,801 : a
2024-12-22 00:17:34,950 : r
2024-12-22 00:17:35,217 : e
2024-12-22 00:17:35,780 : /r
2024-12-22 00:17:36,710 : y
2024-12-22 00:17:37,036 : o
2024-12-22 00:17:37,204 : u
2024-12-22 00:17:38,152 : ?
2024-12-22 00:17:39,271 : /n
2024-12-22 00:17:47,466 : /t
2024-12-22 00:17:48,235 : Key.backspace
2024-12-22 00:17:54,783 : Key.ctrl_r
2024-12-22 00:17:55,082 : Key.ctrl_l
